"","value","record","element","collection"
"374","Latest issue consulted: Año 9, no. 13 (2 abr. 1893).",14,"note","dlc"
"375","Spanishspa",14,"language","dlc"
"376","La Habana elegante",14,"titleInfo","dlc"
"377","Habana elegante (Havana, Cuba)",14,"titleInfo","dlc"
"378","AA00062911_00007180516Imported from (NOTIS)on10357Bibliothèque Haïtienne des Frères de l'Instruction ChrètienneFUGengFrenchfrerda|pn",13,"recordInfo","dlc"
"379","on10357",13,"identifier","dlc"
"380","1035767049",13,"identifier","dlc"
"381","  2018227480",13,"identifier","dlc"
"382","on1035767049",13,"identifier","dlc"
"383","30558050",13,"identifier","dlc"
"384","94021837",13,"identifier","dlc"
"385","Imprimerie Vve J Chenetht05-08-189718971897Weekly (""parassant le samedi"")weeklyregular",13,"originInfo","dlc"
"386","1 online resource :  ;",13,"relatedItem","dlc"
"387","18971897May58818971897May588",13,"relatedItem","dlc"
"388","3055805094021837http://ufdc.ufl.edu/l/AA00062912Drapeau (Port-au-Prince, Haiti)",13,"relatedItem","dlc"
"389","newspaper",13,"genre","dlc"
"390","newspaper",13,"genre","dlc"
"391","Newspapers",13,"genre","dlc"
"392","18971897May58818971897May588",13,"part","dlc"
"393","AN 111.P67 A23",13,"classification","dlc"
"394","text",13,"typeOfResource","dlc"
"395","This item was contributed to the Digital Library of the Caribbean (dLOC) by the source institution listed in the metadata. This item may or may not be protected by copyright in the country where it was produced. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by applicable law, including any applicable international copyright treaty or fair use or fair dealing statutes, which dLOC partners have explicitly supported and endorsed. Any reuse of this item in excess of applicable copyright exceptions may require permission. dLOC would encourage users to contact the source institution directly or dloc@fiu.edu to request more information about copyright status or to provide additional information about the item.",13,"accessCondition","dlc"
"396","HaitiPort-au-Prince",13,"subject","dlc"
"397","Port-au-Prince (Haiti)Newspapers",13,"subject","dlc"
"398","1 online resource :  ;",13,"physicalDescription","dlc"
"399","Ceased with: 1ére. Année. No 18 (31 juillet 1897)",13,"note","dlc"
"400","Frenchfre",13,"language","dlc"
"401","Drapeau (Port-au-Prince, Haiti)",13,"titleInfo","dlc"
"402","L'ABC",13,"titleInfo","dlc"
"403","AA00062911_00006180516Imported from (NOTIS)on10357Bibliothèque Haïtienne des Frères de l'Instruction ChrètienneFUGengFrenchfrerda|pn",12,"recordInfo","dlc"
"404","on10357",12,"identifier","dlc"
"405","1035767049",12,"identifier","dlc"
"406","  2018227480",12,"identifier","dlc"
"407","on1035767049",12,"identifier","dlc"
"408","30558050",12,"identifier","dlc"
"409","94021837",12,"identifier","dlc"
"410","Imprimerie Vve J Chenetht05-01-189718971897Weekly (""parassant le samedi"")weeklyregular",12,"originInfo","dlc"
"411","1 online resource :  ;",12,"relatedItem","dlc"
"412","18971897May51118971897May511",12,"relatedItem","dlc"
"413","3055805094021837http://ufdc.ufl.edu/l/AA00062912Drapeau (Port-au-Prince, Haiti)",12,"relatedItem","dlc"
"414","newspaper",12,"genre","dlc"
"415","newspaper",12,"genre","dlc"
"416","Newspapers",12,"genre","dlc"
"417","18971897May51118971897May511",12,"part","dlc"
"418","AN 111.P67 A23",12,"classification","dlc"
"419","text",12,"typeOfResource","dlc"
"420","This item was contributed to the Digital Library of the Caribbean (dLOC) by the source institution listed in the metadata. This item may or may not be protected by copyright in the country where it was produced. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by applicable law, including any applicable international copyright treaty or fair use or fair dealing statutes, which dLOC partners have explicitly supported and endorsed. Any reuse of this item in excess of applicable copyright exceptions may require permission. dLOC would encourage users to contact the source institution directly or dloc@fiu.edu to request more information about copyright status or to provide additional information about the item.",12,"accessCondition","dlc"
"421","HaitiPort-au-Prince",12,"subject","dlc"
"422","Port-au-Prince (Haiti)Newspapers",12,"subject","dlc"
"423","1 online resource :  ;",12,"physicalDescription","dlc"
"424","Ceased with: 1ére. Année. No 18 (31 juillet 1897)",12,"note","dlc"
"425","Frenchfre",12,"language","dlc"
"426","Drapeau (Port-au-Prince, Haiti)",12,"titleInfo","dlc"
"427","L'ABC",12,"titleInfo","dlc"
"428","AA00062911_00003180516Imported from (NOTIS)on10357Bibliothèque Haïtienne des Frères de l'Instruction ChrètienneFUGengFrenchfrerda|pn",11,"recordInfo","dlc"
"429","on10357",11,"identifier","dlc"
"430","1035767049",11,"identifier","dlc"
"431","  2018227480",11,"identifier","dlc"
"432","on1035767049",11,"identifier","dlc"
"433","30558050",11,"identifier","dlc"
"434","94021837",11,"identifier","dlc"
"435","Imprimerie Vve J Chenetht04-10-189718971897Weekly (""parassant le samedi"")weeklyregular",11,"originInfo","dlc"
"436","1 online resource :  ;",11,"relatedItem","dlc"
"437","18971897April4101018971897April41010",11,"relatedItem","dlc"
"438","3055805094021837http://ufdc.ufl.edu/l/AA00062912Drapeau (Port-au-Prince, Haiti)",11,"relatedItem","dlc"
"439","newspaper",11,"genre","dlc"
"440","newspaper",11,"genre","dlc"
"441","Newspapers",11,"genre","dlc"
"442","18971897April4101018971897April41010",11,"part","dlc"
"443","AN 111.P67 A23",11,"classification","dlc"
"444","text",11,"typeOfResource","dlc"
"445","This item was contributed to the Digital Library of the Caribbean (dLOC) by the source institution listed in the metadata. This item may or may not be protected by copyright in the country where it was produced. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by applicable law, including any applicable international copyright treaty or fair use or fair dealing statutes, which dLOC partners have explicitly supported and endorsed. Any reuse of this item in excess of applicable copyright exceptions may require permission. dLOC would encourage users to contact the source institution directly or dloc@fiu.edu to request more information about copyright status or to provide additional information about the item.",11,"accessCondition","dlc"
"446","HaitiPort-au-Prince",11,"subject","dlc"
"447","Port-au-Prince (Haiti)Newspapers",11,"subject","dlc"
"448","1 online resource :  ;",11,"physicalDescription","dlc"
"449","Ceased with: 1ére. Année. No 18 (31 juillet 1897)",11,"note","dlc"
"450","Frenchfre",11,"language","dlc"
"451","Drapeau (Port-au-Prince, Haiti)",11,"titleInfo","dlc"
"452","L'ABC",11,"titleInfo","dlc"
"453","AA00062911_00002180516Imported from (NOTIS)on10357Bibliothèque Haïtienne des Frères de l'Instruction ChrètienneFUGengFrenchfrerda|pn",10,"recordInfo","dlc"
"454","on10357",10,"identifier","dlc"
"455","1035767049",10,"identifier","dlc"
"456","  2018227480",10,"identifier","dlc"
"457","on1035767049",10,"identifier","dlc"
"458","30558050",10,"identifier","dlc"
"459","94021837",10,"identifier","dlc"
"460","Imprimerie Vve J Chenetht04-03-189718971897Weekly (""parassant le samedi"")weeklyregular",10,"originInfo","dlc"
"461","1 online resource :  ;",10,"relatedItem","dlc"
"462","18971897April43318971897April433",10,"relatedItem","dlc"
"463","3055805094021837http://ufdc.ufl.edu/l/AA00062912Drapeau (Port-au-Prince, Haiti)",10,"relatedItem","dlc"
"464","newspaper",10,"genre","dlc"
"465","newspaper",10,"genre","dlc"
"466","Newspapers",10,"genre","dlc"
"467","18971897April43318971897April433",10,"part","dlc"
"468","AN 111.P67 A23",10,"classification","dlc"
"469","text",10,"typeOfResource","dlc"
"470","This item was contributed to the Digital Library of the Caribbean (dLOC) by the source institution listed in the metadata. This item may or may not be protected by copyright in the country where it was produced. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by applicable law, including any applicable international copyright treaty or fair use or fair dealing statutes, which dLOC partners have explicitly supported and endorsed. Any reuse of this item in excess of applicable copyright exceptions may require permission. dLOC would encourage users to contact the source institution directly or dloc@fiu.edu to request more information about copyright status or to provide additional information about the item.",10,"accessCondition","dlc"
"471","HaitiPort-au-Prince",10,"subject","dlc"
"472","Port-au-Prince (Haiti)Newspapers",10,"subject","dlc"
"473","1 online resource :  ;",10,"physicalDescription","dlc"
"474","Ceased with: 1ére. Année. No 18 (31 juillet 1897)",10,"note","dlc"
"475","Frenchfre",10,"language","dlc"
"476","Drapeau (Port-au-Prince, Haiti)",10,"titleInfo","dlc"
"477","L'ABC",10,"titleInfo","dlc"
"478","AA00062911_00001180516Imported from (NOTIS)on10357Bibliothèque Haïtienne des Frères de l'Instruction ChrètienneFUGengFrenchfrerda|pn",9,"recordInfo","dlc"
"479","on10357",9,"identifier","dlc"
"480","1035767049",9,"identifier","dlc"
"481","  2018227480",9,"identifier","dlc"
"482","on1035767049",9,"identifier","dlc"
"483","30558050",9,"identifier","dlc"
"484","94021837",9,"identifier","dlc"
"485","Imprimerie Vve J Chenetht03-27-189718971897Weekly (""parassant le samedi"")weeklyregular",9,"originInfo","dlc"
"486","1 online resource :  ;",9,"relatedItem","dlc"
"487","18971897March3272718971897March32727",9,"relatedItem","dlc"
"488","3055805094021837http://ufdc.ufl.edu/l/AA00062912Drapeau (Port-au-Prince, Haiti)",9,"relatedItem","dlc"
"489","newspaper",9,"genre","dlc"
"490","newspaper",9,"genre","dlc"
"491","Newspapers",9,"genre","dlc"
"492","18971897March3272718971897March32727",9,"part","dlc"
"493","AN 111.P67 A23",9,"classification","dlc"
"494","text",9,"typeOfResource","dlc"
"495","This item was contributed to the Digital Library of the Caribbean (dLOC) by the source institution listed in the metadata. This item may or may not be protected by copyright in the country where it was produced. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by applicable law, including any applicable international copyright treaty or fair use or fair dealing statutes, which dLOC partners have explicitly supported and endorsed. Any reuse of this item in excess of applicable copyright exceptions may require permission. dLOC would encourage users to contact the source institution directly or dloc@fiu.edu to request more information about copyright status or to provide additional information about the item.",9,"accessCondition","dlc"
"496","HaitiPort-au-Prince",9,"subject","dlc"
"497","Port-au-Prince (Haiti)Newspapers",9,"subject","dlc"
"498","1 online resource :  ;",9,"physicalDescription","dlc"
"499","Ceased with: 1ére. Année. No 18 (31 juillet 1897)",9,"note","dlc"
"500","Frenchfre",9,"language","dlc"
"501","Drapeau (Port-au-Prince, Haiti)",9,"titleInfo","dlc"
"502","L'ABC",9,"titleInfo","dlc"
"503","AA00010296_00008University of Florida",8,"recordInfo","dlc"
"504","31169",8,"identifier","dlc"
"505","HaitiFrench Colony of Saint-Domingue",8,"originInfo","dlc"
"506","Manuscript materials from 16 microfilm reels",8,"relatedItem","dlc"
"507","16 volume composite Saint Domingue Manuscript CollectionReel 9 manuscripts - LLMC MS - 31169.0008.0019",8,"relatedItem","dlc"
"508","Reel 9 manuscripts - LLMC MS - 31169.0008.0019",8,"part","dlc"
"509","The University of Florida’s Saint Domingue Collection; the Manuscripts: 16 online volumes corresponding to the 16 reels of microfilm from the University Library’s collection from which manuscripts were extracted and digitized. (The Saint Domingue Collection, an assemblage of 20 reels of microfilm containing 186 print titles and several hundred manuscripts and maps illustrative of the colonial era in the French Colony of Saint-Domingue, was assembled by University of Florida librarians in the mid-1950s. Most of the documents came from the French National Archives, although a portion of the manuscripts were mined from the University’s own collections. The University Library generously loaned the film to LLMC for digitization to enrich its Haiti Legal Patrimony Collection, and also bore half the cost of the digitization. Unfortunately, all of these historical gems have long languished in obscurity in their film format, and would have met much the same fate had that same formatting been transferred directly online. Therefore, while the provenance of each separate item is carefully acknowledged, the collection has been broken up into smaller units to make them more discoverable and citeable as follows. All of the print items were reassembled in the following pattern: A.) 69 print items are offered on this site as standalone titles; B.) 67 print items were reassembled into a composite title covering Activities in Saint Domingue; C.) 27 print items were reassembled into a a composite title - French Documents Related to Saint-Domingue; D.) 19 print items were reassembled into a a composite title - French Documents Related to the French Colonies; and E.) all of the hundreds of manuscripts were organized into a composite title of 16 volumes entitled Saint Domingue Collection, The Manuscripts. While the manuscript volumes follow a somewhat different plan, all of the parts within each of the three composite print titles {B-C-D above} are organized in rough chronological order, and each composite title has been enhanced with a detailed Table of Contents. Given that the part numbers assigned to these items will never change, a given part can be cited with confidence. The manuscripts that were extracted from those 16 reels of the microfilm that contained manuscripts have been grouped into the 16 online volumes comprising the present composite title, with the items appearing in the exact order in which they appeared on the film, along with images of any film guides that may have been provided. Each of the 16 online volumes is also being provided with its own “living index.” LLMC welcomes additions to these “living indexes” as volunteered by interested scholars willing to submit their identifications of particular manuscripts or notes of related historical content. Updated versions of the indexes will be “swapped in” as additional editorial matter is received. Parties interested in participating in this “living index” project should should contact Matthew Loving, MLS MA, Romance languages/Area Studies Librarian at the UFL Smathers Library mwloving@ad.ufl.edu.)",8,"abstract","dlc"
"510","mixed material",8,"typeOfResource","dlc"
"511","The University of Florida George A. Smathers Libraries respect the intellectual property rights of others and do not claim any copyright interest in this item. This item may be protected by copyright but is made available here under a claim of fair use (17 U.S.C. §107) for non-profit research and educational purposes. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by fair use or other copyright exemptions. Any reuse of this item in excess of fair use or other copyright exemptions requires permission of the copyright holder. The Smathers Libraries would like to learn more about this item and invite individuals or organizations to contact Digital Services (UFDC@uflib.ufl.edu) with any additional information they can provide.",8,"accessCondition","dlc"
"512","Manuscript materials from 16 microfilm reels",8,"physicalDescription","dlc"
"513","All of the manuscripts were kept with the other manuscripts that appeared on the same reel; in exactly the same order as they appeared on the reel. Four of the original 20 reels (#1, 15, 16 & 17) had only print items and were not digitized, so there are only 16 digital volumes that correspond to the different reels. The reels correspond to these LLMC nos: reel 2 manuscripts - 31169.0001.001; reel 3 manuscripts - 31169.0002.001; reel 4 manuscripts - 31169.0003.001; reel 5 manuscripts - 31169.0004.001;  reel 6 manuscripts - 31169.0005.001;  reel 7 manuscripts - 31169.0006.001; reel 8 manuscripts - 31169.0007.001;  reel 9 manuscripts - -31169.0008.001; reel 10 manuscripts- 31169.0009.001; reel 11 manuscripts- 31169.0010.001; reel 12 manuscripts- 31169.0011.001; reel 13 manuscripts- 31169.0012.001; reel 14 manuscripts- 31169.0013.001; reel 18 manuscripts- 31169.0014.001; reel 19 manuscripts- 31169.0015.001; reel 20 manuscripts- 31169.0016.001",8,"note","dlc"
"514","16 volume composite Saint Domingue Manuscript Collection",8,"titleInfo","dlc"
"515","Reel 9 manuscripts - LLMC MS - 31169.0008.001",8,"titleInfo","dlc"
"516","AA00010296_00007University of Florida",7,"recordInfo","dlc"
"517","31169",7,"identifier","dlc"
"518","HaitiFrench Colony of Saint-Domingue",7,"originInfo","dlc"
"519","Manuscript materials from 16 microfilm reels",7,"relatedItem","dlc"
"520","16 volume composite Saint Domingue Manuscript CollectionReel 8 manuscripts - LLMC MS - 31169.0007.0018",7,"relatedItem","dlc"
"521","Reel 8 manuscripts - LLMC MS - 31169.0007.0018",7,"part","dlc"
"522","The University of Florida’s Saint Domingue Collection; the Manuscripts: 16 online volumes corresponding to the 16 reels of microfilm from the University Library’s collection from which manuscripts were extracted and digitized. (The Saint Domingue Collection, an assemblage of 20 reels of microfilm containing 186 print titles and several hundred manuscripts and maps illustrative of the colonial era in the French Colony of Saint-Domingue, was assembled by University of Florida librarians in the mid-1950s. Most of the documents came from the French National Archives, although a portion of the manuscripts were mined from the University’s own collections. The University Library generously loaned the film to LLMC for digitization to enrich its Haiti Legal Patrimony Collection, and also bore half the cost of the digitization. Unfortunately, all of these historical gems have long languished in obscurity in their film format, and would have met much the same fate had that same formatting been transferred directly online. Therefore, while the provenance of each separate item is carefully acknowledged, the collection has been broken up into smaller units to make them more discoverable and citeable as follows. All of the print items were reassembled in the following pattern: A.) 69 print items are offered on this site as standalone titles; B.) 67 print items were reassembled into a composite title covering Activities in Saint Domingue; C.) 27 print items were reassembled into a a composite title - French Documents Related to Saint-Domingue; D.) 19 print items were reassembled into a a composite title - French Documents Related to the French Colonies; and E.) all of the hundreds of manuscripts were organized into a composite title of 16 volumes entitled Saint Domingue Collection, The Manuscripts. While the manuscript volumes follow a somewhat different plan, all of the parts within each of the three composite print titles {B-C-D above} are organized in rough chronological order, and each composite title has been enhanced with a detailed Table of Contents. Given that the part numbers assigned to these items will never change, a given part can be cited with confidence. The manuscripts that were extracted from those 16 reels of the microfilm that contained manuscripts have been grouped into the 16 online volumes comprising the present composite title, with the items appearing in the exact order in which they appeared on the film, along with images of any film guides that may have been provided. Each of the 16 online volumes is also being provided with its own “living index.” LLMC welcomes additions to these “living indexes” as volunteered by interested scholars willing to submit their identifications of particular manuscripts or notes of related historical content. Updated versions of the indexes will be “swapped in” as additional editorial matter is received. Parties interested in participating in this “living index” project should should contact Matthew Loving, MLS MA, Romance languages/Area Studies Librarian at the UFL Smathers Library mwloving@ad.ufl.edu.)",7,"abstract","dlc"
"523","mixed material",7,"typeOfResource","dlc"
"524","The University of Florida George A. Smathers Libraries respect the intellectual property rights of others and do not claim any copyright interest in this item. This item may be protected by copyright but is made available here under a claim of fair use (17 U.S.C. §107) for non-profit research and educational purposes. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by fair use or other copyright exemptions. Any reuse of this item in excess of fair use or other copyright exemptions requires permission of the copyright holder. The Smathers Libraries would like to learn more about this item and invite individuals or organizations to contact Digital Services (UFDC@uflib.ufl.edu) with any additional information they can provide.",7,"accessCondition","dlc"
"525","Manuscript materials from 16 microfilm reels",7,"physicalDescription","dlc"
"526","All of the manuscripts were kept with the other manuscripts that appeared on the same reel; in exactly the same order as they appeared on the reel. Four of the original 20 reels (#1, 15, 16 & 17) had only print items and were not digitized, so there are only 16 digital volumes that correspond to the different reels. The reels correspond to these LLMC nos: reel 2 manuscripts - 31169.0001.001; reel 3 manuscripts - 31169.0002.001; reel 4 manuscripts - 31169.0003.001; reel 5 manuscripts - 31169.0004.001;  reel 6 manuscripts - 31169.0005.001;  reel 7 manuscripts - 31169.0006.001; reel 8 manuscripts - 31169.0007.001;  reel 9 manuscripts - -31169.0008.001; reel 10 manuscripts- 31169.0009.001; reel 11 manuscripts- 31169.0010.001; reel 12 manuscripts- 31169.0011.001; reel 13 manuscripts- 31169.0012.001; reel 14 manuscripts- 31169.0013.001; reel 18 manuscripts- 31169.0014.001; reel 19 manuscripts- 31169.0015.001; reel 20 manuscripts- 31169.0016.001",7,"note","dlc"
"527","16 volume composite Saint Domingue Manuscript Collection",7,"titleInfo","dlc"
"528","Reel 8 manuscripts - LLMC MS - 31169.0007.001",7,"titleInfo","dlc"
"529","AA00010296_00006University of Florida",6,"recordInfo","dlc"
"530","31169",6,"identifier","dlc"
"531","HaitiFrench Colony of Saint-Domingue",6,"originInfo","dlc"
"532","Manuscript materials from 16 microfilm reels",6,"relatedItem","dlc"
"533","16 volume composite Saint Domingue Manuscript CollectionReel 7 manuscripts - LLMC MS - 31169.0006.0017",6,"relatedItem","dlc"
"534","Reel 7 manuscripts - LLMC MS - 31169.0006.0017",6,"part","dlc"
"535","The University of Florida’s Saint Domingue Collection; the Manuscripts: 16 online volumes corresponding to the 16 reels of microfilm from the University Library’s collection from which manuscripts were extracted and digitized. (The Saint Domingue Collection, an assemblage of 20 reels of microfilm containing 186 print titles and several hundred manuscripts and maps illustrative of the colonial era in the French Colony of Saint-Domingue, was assembled by University of Florida librarians in the mid-1950s. Most of the documents came from the French National Archives, although a portion of the manuscripts were mined from the University’s own collections. The University Library generously loaned the film to LLMC for digitization to enrich its Haiti Legal Patrimony Collection, and also bore half the cost of the digitization. Unfortunately, all of these historical gems have long languished in obscurity in their film format, and would have met much the same fate had that same formatting been transferred directly online. Therefore, while the provenance of each separate item is carefully acknowledged, the collection has been broken up into smaller units to make them more discoverable and citeable as follows. All of the print items were reassembled in the following pattern: A.) 69 print items are offered on this site as standalone titles; B.) 67 print items were reassembled into a composite title covering Activities in Saint Domingue; C.) 27 print items were reassembled into a a composite title - French Documents Related to Saint-Domingue; D.) 19 print items were reassembled into a a composite title - French Documents Related to the French Colonies; and E.) all of the hundreds of manuscripts were organized into a composite title of 16 volumes entitled Saint Domingue Collection, The Manuscripts. While the manuscript volumes follow a somewhat different plan, all of the parts within each of the three composite print titles {B-C-D above} are organized in rough chronological order, and each composite title has been enhanced with a detailed Table of Contents. Given that the part numbers assigned to these items will never change, a given part can be cited with confidence. The manuscripts that were extracted from those 16 reels of the microfilm that contained manuscripts have been grouped into the 16 online volumes comprising the present composite title, with the items appearing in the exact order in which they appeared on the film, along with images of any film guides that may have been provided. Each of the 16 online volumes is also being provided with its own “living index.” LLMC welcomes additions to these “living indexes” as volunteered by interested scholars willing to submit their identifications of particular manuscripts or notes of related historical content. Updated versions of the indexes will be “swapped in” as additional editorial matter is received. Parties interested in participating in this “living index” project should should contact Matthew Loving, MLS MA, Romance languages/Area Studies Librarian at the UFL Smathers Library mwloving@ad.ufl.edu.)",6,"abstract","dlc"
"536","mixed material",6,"typeOfResource","dlc"
"537","The University of Florida George A. Smathers Libraries respect the intellectual property rights of others and do not claim any copyright interest in this item. This item may be protected by copyright but is made available here under a claim of fair use (17 U.S.C. §107) for non-profit research and educational purposes. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by fair use or other copyright exemptions. Any reuse of this item in excess of fair use or other copyright exemptions requires permission of the copyright holder. The Smathers Libraries would like to learn more about this item and invite individuals or organizations to contact Digital Services (UFDC@uflib.ufl.edu) with any additional information they can provide.",6,"accessCondition","dlc"
"538","Manuscript materials from 16 microfilm reels",6,"physicalDescription","dlc"
"539","All of the manuscripts were kept with the other manuscripts that appeared on the same reel; in exactly the same order as they appeared on the reel. Four of the original 20 reels (#1, 15, 16 & 17) had only print items and were not digitized, so there are only 16 digital volumes that correspond to the different reels. The reels correspond to these LLMC nos: reel 2 manuscripts - 31169.0001.001; reel 3 manuscripts - 31169.0002.001; reel 4 manuscripts - 31169.0003.001; reel 5 manuscripts - 31169.0004.001;  reel 6 manuscripts - 31169.0005.001;  reel 7 manuscripts - 31169.0006.001; reel 8 manuscripts - 31169.0007.001;  reel 9 manuscripts - -31169.0008.001; reel 10 manuscripts- 31169.0009.001; reel 11 manuscripts- 31169.0010.001; reel 12 manuscripts- 31169.0011.001; reel 13 manuscripts- 31169.0012.001; reel 14 manuscripts- 31169.0013.001; reel 18 manuscripts- 31169.0014.001; reel 19 manuscripts- 31169.0015.001; reel 20 manuscripts- 31169.0016.001",6,"note","dlc"
"540","16 volume composite Saint Domingue Manuscript Collection",6,"titleInfo","dlc"
"541","Reel 7 manuscripts - LLMC MS - 31169.0006.001",6,"titleInfo","dlc"
"542","AA00010296_00005University of Florida",5,"recordInfo","dlc"
"543","31169",5,"identifier","dlc"
"544","HaitiFrench Colony of Saint-Domingue",5,"originInfo","dlc"
"545","Manuscript materials from 16 microfilm reels",5,"relatedItem","dlc"
"546","16 volume composite Saint Domingue Manuscript CollectionReel 6 manuscripts - LLMC MS - 31169.0005.0016",5,"relatedItem","dlc"
"547","Reel 6 manuscripts - LLMC MS - 31169.0005.0016",5,"part","dlc"
"548","The University of Florida’s Saint Domingue Collection; the Manuscripts: 16 online volumes corresponding to the 16 reels of microfilm from the University Library’s collection from which manuscripts were extracted and digitized. (The Saint Domingue Collection, an assemblage of 20 reels of microfilm containing 186 print titles and several hundred manuscripts and maps illustrative of the colonial era in the French Colony of Saint-Domingue, was assembled by University of Florida librarians in the mid-1950s. Most of the documents came from the French National Archives, although a portion of the manuscripts were mined from the University’s own collections. The University Library generously loaned the film to LLMC for digitization to enrich its Haiti Legal Patrimony Collection, and also bore half the cost of the digitization. Unfortunately, all of these historical gems have long languished in obscurity in their film format, and would have met much the same fate had that same formatting been transferred directly online. Therefore, while the provenance of each separate item is carefully acknowledged, the collection has been broken up into smaller units to make them more discoverable and citeable as follows. All of the print items were reassembled in the following pattern: A.) 69 print items are offered on this site as standalone titles; B.) 67 print items were reassembled into a composite title covering Activities in Saint Domingue; C.) 27 print items were reassembled into a a composite title - French Documents Related to Saint-Domingue; D.) 19 print items were reassembled into a a composite title - French Documents Related to the French Colonies; and E.) all of the hundreds of manuscripts were organized into a composite title of 16 volumes entitled Saint Domingue Collection, The Manuscripts. While the manuscript volumes follow a somewhat different plan, all of the parts within each of the three composite print titles {B-C-D above} are organized in rough chronological order, and each composite title has been enhanced with a detailed Table of Contents. Given that the part numbers assigned to these items will never change, a given part can be cited with confidence. The manuscripts that were extracted from those 16 reels of the microfilm that contained manuscripts have been grouped into the 16 online volumes comprising the present composite title, with the items appearing in the exact order in which they appeared on the film, along with images of any film guides that may have been provided. Each of the 16 online volumes is also being provided with its own “living index.” LLMC welcomes additions to these “living indexes” as volunteered by interested scholars willing to submit their identifications of particular manuscripts or notes of related historical content. Updated versions of the indexes will be “swapped in” as additional editorial matter is received. Parties interested in participating in this “living index” project should should contact Matthew Loving, MLS MA, Romance languages/Area Studies Librarian at the UFL Smathers Library mwloving@ad.ufl.edu.)",5,"abstract","dlc"
"549","mixed material",5,"typeOfResource","dlc"
"550","The University of Florida George A. Smathers Libraries respect the intellectual property rights of others and do not claim any copyright interest in this item. This item may be protected by copyright but is made available here under a claim of fair use (17 U.S.C. §107) for non-profit research and educational purposes. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by fair use or other copyright exemptions. Any reuse of this item in excess of fair use or other copyright exemptions requires permission of the copyright holder. The Smathers Libraries would like to learn more about this item and invite individuals or organizations to contact Digital Services (UFDC@uflib.ufl.edu) with any additional information they can provide.",5,"accessCondition","dlc"
"551","Manuscript materials from 16 microfilm reels",5,"physicalDescription","dlc"
"552","All of the manuscripts were kept with the other manuscripts that appeared on the same reel; in exactly the same order as they appeared on the reel. Four of the original 20 reels (#1, 15, 16 & 17) had only print items and were not digitized, so there are only 16 digital volumes that correspond to the different reels. The reels correspond to these LLMC nos: reel 2 manuscripts - 31169.0001.001; reel 3 manuscripts - 31169.0002.001; reel 4 manuscripts - 31169.0003.001; reel 5 manuscripts - 31169.0004.001;  reel 6 manuscripts - 31169.0005.001;  reel 7 manuscripts - 31169.0006.001; reel 8 manuscripts - 31169.0007.001;  reel 9 manuscripts - -31169.0008.001; reel 10 manuscripts- 31169.0009.001; reel 11 manuscripts- 31169.0010.001; reel 12 manuscripts- 31169.0011.001; reel 13 manuscripts- 31169.0012.001; reel 14 manuscripts- 31169.0013.001; reel 18 manuscripts- 31169.0014.001; reel 19 manuscripts- 31169.0015.001; reel 20 manuscripts- 31169.0016.001",5,"note","dlc"
"553","16 volume composite Saint Domingue Manuscript Collection",5,"titleInfo","dlc"
"554","Reel 6 manuscripts - LLMC MS - 31169.0005.001",5,"titleInfo","dlc"
"555","AA00010296_00004University of Florida",4,"recordInfo","dlc"
"556","31169",4,"identifier","dlc"
"557","HaitiFrench Colony of Saint-Domingue",4,"originInfo","dlc"
"558","Manuscript materials from 16 microfilm reels",4,"relatedItem","dlc"
"559","16 volume composite Saint Domingue Manuscript CollectionReel 5 manuscripts - LLMC MS - 31169.0004.0015",4,"relatedItem","dlc"
"560","Reel 5 manuscripts - LLMC MS - 31169.0004.0015",4,"part","dlc"
