"","value","record","element","collection"
"549","dlc20221128lcwaN0000602eng",25,"recordInfo","loc"
"550","lcwaN0000602",25,"identifier","loc"
"551","2097",25,"identifier","loc"
"552","http://www.lptexas.org/2006/jperez",25,"identifier","loc"
"553","949",25,"identifier","loc"
"554","general",25,"targetAudience","loc"
"555","2006062120061213",25,"originInfo","loc"
"556","United States Elections Web Archive",25,"relatedItem","loc"
"557","Researcher and Reference Services Division",25,"relatedItem","loc"
"558","http://www.lptexas.org/2006/jperez949http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000949.jpgNone2006062120061213",25,"relatedItem","loc"
"559","website",25,"genre","loc"
"560","None",25,"part","loc"
"561","text",25,"typeOfResource","loc"
"562","None",25,"accessCondition","loc"
"563","Perez, Justo J.",25,"subject","loc"
"564","Political candidatesUnited States",25,"subject","loc"
"565","ElectionsUnited States",25,"subject","loc"
"566","Politics and governmentUnited States",25,"subject","loc"
"567","United States Elections, 2006",25,"subject","loc"
"568","United StatesCongressHouse",25,"subject","loc"
"569","Libertarian Party",25,"subject","loc"
"570","Texas",25,"subject","loc"
"571","Texas (2nd Congressional District)",25,"subject","loc"
"572","electronictext/htmlborn digital",25,"physicalDescription","loc"
"573","eng",25,"language","loc"
"574","Perez, Justo J.",25,"name","loc"
"575","Perez, Justo J.",25,"name","loc"
"576","United StatesCongressHouse",25,"name","loc"
"577","Libertarian Party",25,"name","loc"
"578","Official Campaign Website - Justo J. Perez",25,"titleInfo","loc"
"579","United States Elections Web Archive",25,"titleInfo","loc"
"580","Researcher and Reference Services Division",25,"titleInfo","loc"
"581","dlc20221128lcwaN0000601eng",24,"recordInfo","loc"
"582","lcwaN0000601",24,"identifier","loc"
"583","2098",24,"identifier","loc"
"584","http://www.lptexas.org/2006/perkison",24,"identifier","loc"
"585","948",24,"identifier","loc"
"586","general",24,"targetAudience","loc"
"587","2006062120061213",24,"originInfo","loc"
"588","United States Elections Web Archive",24,"relatedItem","loc"
"589","Researcher and Reference Services Division",24,"relatedItem","loc"
"590","http://www.lptexas.org/2006/perkison948http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000948.jpgNone2006062120061213",24,"relatedItem","loc"
"591","website",24,"genre","loc"
"592","None",24,"part","loc"
"593","text",24,"typeOfResource","loc"
"594","None",24,"accessCondition","loc"
"595","Perkison, Donald",24,"subject","loc"
"596","Political candidatesUnited States",24,"subject","loc"
"597","ElectionsUnited States",24,"subject","loc"
"598","Politics and governmentUnited States",24,"subject","loc"
"599","United States Elections, 2006",24,"subject","loc"
"600","United StatesCongressHouse",24,"subject","loc"
"601","Libertarian Party",24,"subject","loc"
"602","Texas",24,"subject","loc"
"603","Texas (1st Congressional District)",24,"subject","loc"
"604","electronictext/htmlborn digital",24,"physicalDescription","loc"
"605","eng",24,"language","loc"
"606","Perkison, Donald",24,"name","loc"
"607","Perkison, Donald",24,"name","loc"
"608","United StatesCongressHouse",24,"name","loc"
"609","Libertarian Party",24,"name","loc"
"610","Official Campaign Website - Donald Perkison",24,"titleInfo","loc"
"611","United States Elections Web Archive",24,"titleInfo","loc"
"612","Researcher and Reference Services Division",24,"titleInfo","loc"
"613","dlc20221128lcwaN0000600eng",23,"recordInfo","loc"
"614","lcwaN0000600",23,"identifier","loc"
"615","2082",23,"identifier","loc"
"616","http://www.badnarik.org/",23,"identifier","loc"
"617","947",23,"identifier","loc"
"618","general",23,"targetAudience","loc"
"619","2002080920080605",23,"originInfo","loc"
"620","United States Elections Web Archive",23,"relatedItem","loc"
"621","Researcher and Reference Services Division",23,"relatedItem","loc"
"622","http://www.badnarik.org/947http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000947.jpgNone2002080920080605",23,"relatedItem","loc"
"623","website",23,"genre","loc"
"624","None",23,"part","loc"
"625","text",23,"typeOfResource","loc"
"626","None",23,"accessCondition","loc"
"627","Badnarik, Michael",23,"subject","loc"
"628","Political candidatesUnited States",23,"subject","loc"
"629","ElectionsUnited States",23,"subject","loc"
"630","Politics and governmentUnited States",23,"subject","loc"
"631","United States Elections, 2004",23,"subject","loc"
"632","United StatesPresident",23,"subject","loc"
"633","Libertarian Party",23,"subject","loc"
"634","United States",23,"subject","loc"
"635","United States Elections, 2006",23,"subject","loc"
"636","United StatesCongressHouse",23,"subject","loc"
"637","Libertarian Party",23,"subject","loc"
"638","Texas",23,"subject","loc"
"639","Texas (10th Congressional District)",23,"subject","loc"
"640","electronictext/htmlborn digital",23,"physicalDescription","loc"
"641","eng",23,"language","loc"
"642","Badnarik, Michael",23,"name","loc"
"643","Badnarik, Michael",23,"name","loc"
"644","United StatesPresident",23,"name","loc"
"645","Libertarian Party",23,"name","loc"
"646","United StatesCongressHouse",23,"name","loc"
"647","Libertarian Party",23,"name","loc"
"648","Official Campaign Website - Michael Badnarik",23,"titleInfo","loc"
"649","United States Elections Web Archive",23,"titleInfo","loc"
"650","Researcher and Reference Services Division",23,"titleInfo","loc"
"651","dlc20221128lcwaN0000599eng",22,"recordInfo","loc"
"652","lcwaN0000599",22,"identifier","loc"
"653","2142",22,"identifier","loc"
"654","http://www.tedstricklandforcongress.com/",22,"identifier","loc"
"655","946",22,"identifier","loc"
"656","http://www.tedstrickland.com/",22,"identifier","loc"
"657","945",22,"identifier","loc"
"658","http://tedstrickland.com/",22,"identifier","loc"
"659","944",22,"identifier","loc"
"660","http://www.stricklandforcongress.com/",22,"identifier","loc"
"661","943",22,"identifier","loc"
"662","general",22,"targetAudience","loc"
"663","2002070120021203",22,"originInfo","loc"
"664","2006062120170419",22,"originInfo","loc"
"665","2006062120170419",22,"originInfo","loc"
"666","2002101220041216",22,"originInfo","loc"
"667","United States Elections Web Archive",22,"relatedItem","loc"
"668","Researcher and Reference Services Division",22,"relatedItem","loc"
"669","http://www.tedstricklandforcongress.com/946http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000946.jpghttp://tedstrickland.comhttp://www.youtube.com/channel/UCqHt68upHRyUaGkuareKRxghttp://youtube.com/user/StricklandCampaignhttp://www.flickr.com/photos/51411553%40N06/http://www.youtube.com/user/StricklandCampaignhttp://secure.tedstrickland.com/page/contribute2002070120021203",22,"relatedItem","loc"
"670","http://www.tedstrickland.com/945http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000945.jpg2006062120170419",22,"relatedItem","loc"
"671","http://tedstrickland.com/944http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000944.jpg2006062120170419",22,"relatedItem","loc"
"672","http://www.stricklandforcongress.com/943http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000943.jpg2002101220041216",22,"relatedItem","loc"
"673","website",22,"genre","loc"
"674","http://tedstrickland.comhttp://www.youtube.com/channel/UCqHt68upHRyUaGkuareKRxghttp://youtube.com/user/StricklandCampaignhttp://www.flickr.com/photos/51411553%40N06/http://www.youtube.com/user/StricklandCampaignhttp://secure.tedstrickland.com/page/contribute",22,"part","loc"
"675","text",22,"typeOfResource","loc"
"676","None",22,"accessCondition","loc"
"677","Strickland, Ted",22,"subject","loc"
"678","Political candidatesUnited States",22,"subject","loc"
"679","ElectionsUnited States",22,"subject","loc"
"680","Politics and governmentUnited States",22,"subject","loc"
"681","United States Elections, 2002",22,"subject","loc"
"682","United StatesCongressHouse",22,"subject","loc"
"683","Democratic Party",22,"subject","loc"
"684","Ohio",22,"subject","loc"
"685","Ohio (6th Congressional District)",22,"subject","loc"
"686","United States Elections, 2004",22,"subject","loc"
"687","United StatesCongressHouse",22,"subject","loc"
"688","Democratic Party",22,"subject","loc"
"689","Ohio",22,"subject","loc"
"690","Ohio (6th Congressional District)",22,"subject","loc"
"691","United States Elections, 2006",22,"subject","loc"
"692","OhioGovernor",22,"subject","loc"
"693","Democratic Party",22,"subject","loc"
"694","Ohio",22,"subject","loc"
"695","United States Elections, 2010",22,"subject","loc"
"696","OhioGovernor",22,"subject","loc"
"697","Democratic Party",22,"subject","loc"
"698","Ohio",22,"subject","loc"
"699","United States Elections, 2016",22,"subject","loc"
"700","United StatesCongressSenate",22,"subject","loc"
"701","Democratic Party",22,"subject","loc"
"702","Ohio",22,"subject","loc"
"703","electronictext/htmlborn digital",22,"physicalDescription","loc"
"704","eng",22,"language","loc"
"705","Strickland, Ted",22,"name","loc"
"706","Strickland, Ted",22,"name","loc"
"707","United StatesCongressHouse",22,"name","loc"
"708","Democratic Party",22,"name","loc"
"709","United StatesCongressHouse",22,"name","loc"
"710","Democratic Party",22,"name","loc"
"711","OhioGovernor",22,"name","loc"
"712","Democratic Party",22,"name","loc"
"713","OhioGovernor",22,"name","loc"
"714","Democratic Party",22,"name","loc"
"715","United StatesCongressSenate",22,"name","loc"
"716","Democratic Party",22,"name","loc"
"717","Official Campaign Website - Ted Strickland",22,"titleInfo","loc"
"718","United States Elections Web Archive",22,"titleInfo","loc"
"719","Researcher and Reference Services Division",22,"titleInfo","loc"
"720","dlc20221128lcwaN0000559eng",21,"recordInfo","loc"
"721","lcwaN0000559",21,"identifier","loc"
"722","2217",21,"identifier","loc"
"723","http://www.matthews4congress.com/",21,"identifier","loc"
"724","898",21,"identifier","loc"
"725","general",21,"targetAudience","loc"
"726","2004090920061206",21,"originInfo","loc"
"727","United States Elections Web Archive",21,"relatedItem","loc"
"728","Researcher and Reference Services Division",21,"relatedItem","loc"
"729","http://www.matthews4congress.com/898http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000898.jpgNone2004090920061206",21,"relatedItem","loc"
"730","website",21,"genre","loc"
"731","None",21,"part","loc"
"732","text",21,"typeOfResource","loc"
"733","None",21,"accessCondition","loc"
"734","Matthews, Cynthia",21,"subject","loc"
"735","Political candidatesUnited States",21,"subject","loc"
"736","ElectionsUnited States",21,"subject","loc"
"737","Politics and governmentUnited States",21,"subject","loc"
"738","United States Elections, 2004",21,"subject","loc"
"739","United StatesCongressHouse",21,"subject","loc"
"740","Democratic Party",21,"subject","loc"
"741","California",21,"subject","loc"
"742","California (26th Congressional District)",21,"subject","loc"
"743","United States Elections, 2006",21,"subject","loc"
"744","United StatesCongressHouse",21,"subject","loc"
"745","Democratic Party",21,"subject","loc"
"746","California",21,"subject","loc"
"747","California (26th Congressional District)",21,"subject","loc"
"748","electronictext/htmlborn digital",21,"physicalDescription","loc"
"749","eng",21,"language","loc"
"750","Matthews, Cynthia",21,"name","loc"
"751","Matthews, Cynthia",21,"name","loc"
"752","United StatesCongressHouse",21,"name","loc"
"753","Democratic Party",21,"name","loc"
"754","United StatesCongressHouse",21,"name","loc"
"755","Democratic Party",21,"name","loc"
"756","Official Campaign Website - Cynthia Matthews",21,"titleInfo","loc"
"757","United States Elections Web Archive",21,"titleInfo","loc"
"758","Researcher and Reference Services Division",21,"titleInfo","loc"
"759","dlc20221128lcwaN0000558eng",20,"recordInfo","loc"
"760","lcwaN0000558",20,"identifier","loc"
"761","2141",20,"identifier","loc"
"762","http://www.jillmartinez2006.com/",20,"identifier","loc"
"763","897",20,"identifier","loc"
"764","general",20,"targetAudience","loc"
"765","2006062120061213",20,"originInfo","loc"
"766","United States Elections Web Archive",20,"relatedItem","loc"
"767","Researcher and Reference Services Division",20,"relatedItem","loc"
"768","http://www.jillmartinez2006.com/897http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000897.jpgNone2006062120061213",20,"relatedItem","loc"
"769","website",20,"genre","loc"
"770","None",20,"part","loc"
"771","text",20,"typeOfResource","loc"
"772","None",20,"accessCondition","loc"
"773","Martinez, Jill Marie",20,"subject","loc"
"774","Political candidatesUnited States",20,"subject","loc"
"775","ElectionsUnited States",20,"subject","loc"
"776","Politics and governmentUnited States",20,"subject","loc"
"777","United States Elections, 2006",20,"subject","loc"
"778","United StatesCongressHouse",20,"subject","loc"
"779","Democratic Party",20,"subject","loc"
"780","California",20,"subject","loc"
"781","California (24th Congressional District)",20,"subject","loc"
"782","electronictext/htmlborn digital",20,"physicalDescription","loc"
"783","eng",20,"language","loc"
"784","Martinez, Jill Marie",20,"name","loc"
"785","Martinez, Jill Marie",20,"name","loc"
"786","United StatesCongressHouse",20,"name","loc"
"787","Democratic Party",20,"name","loc"
"788","Official Campaign Website - Jill Marie Martinez",20,"titleInfo","loc"
"789","United States Elections Web Archive",20,"titleInfo","loc"
"790","Researcher and Reference Services Division",20,"titleInfo","loc"
"791","dlc20221128lcwaN0000557eng",19,"recordInfo","loc"
"792","lcwaN0000557",19,"identifier","loc"
"793","2200",19,"identifier","loc"
"794","http://www.lugar2006.com/",19,"identifier","loc"
"795","896",19,"identifier","loc"
"796","general",19,"targetAudience","loc"
"797","2006062120061213",19,"originInfo","loc"
"798","United States Elections Web Archive",19,"relatedItem","loc"
"799","Researcher and Reference Services Division",19,"relatedItem","loc"
"800","http://www.lugar2006.com/896http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000896.jpgNone2006062120061213",19,"relatedItem","loc"
"801","website",19,"genre","loc"
"802","None",19,"part","loc"
"803","text",19,"typeOfResource","loc"
"804","None",19,"accessCondition","loc"
"805","Lugar, Richard G.",19,"subject","loc"
"806","Political candidatesUnited States",19,"subject","loc"
"807","ElectionsUnited States",19,"subject","loc"
"808","Politics and governmentUnited States",19,"subject","loc"
"809","United States Elections, 2006",19,"subject","loc"
"810","United StatesCongressSenate",19,"subject","loc"
"811","Republican Party",19,"subject","loc"
"812","Indiana",19,"subject","loc"
"813","electronictext/htmlborn digital",19,"physicalDescription","loc"
"814","eng",19,"language","loc"
"815","Lugar, Richard G.",19,"name","loc"
"816","Lugar, Richard G.",19,"name","loc"
"817","United StatesCongressSenate",19,"name","loc"
"818","Republican Party",19,"name","loc"
"819","Official Campaign Website - Richard G. Lugar",19,"titleInfo","loc"
"820","United States Elections Web Archive",19,"titleInfo","loc"
"821","Researcher and Reference Services Division",19,"titleInfo","loc"
"822","dlc20221128lcwaN0000556eng",18,"recordInfo","loc"
"823","lcwaN0000556",18,"identifier","loc"
"824","542",18,"identifier","loc"
"825","https://www.facebook.com/markleyva2014",18,"identifier","loc"
"826","36097",18,"identifier","loc"
"827","http://markleyva.com/",18,"identifier","loc"
"828","895",18,"identifier","loc"
"829","http://www.markleyva.com/",18,"identifier","loc"
"830","894",18,"identifier","loc"
"831","http://www.markleyva.com/MLMain",18,"identifier","loc"
"832","893",18,"identifier","loc"
"833","general",18,"targetAudience","loc"
"834","2014061120181219",18,"originInfo","loc"
"835","2002080920201222",18,"originInfo","loc"
"836","2002080920201222",18,"originInfo","loc"
"837","2002080720040909",18,"originInfo","loc"
"838","United States Elections Web Archive",18,"relatedItem","loc"
"839","Researcher and Reference Services Division",18,"relatedItem","loc"
"840","https://www.facebook.com/markleyva201436097http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0036097.jpghttp://www.facebook.com/markleyva20142014061120181219",18,"relatedItem","loc"
"841","http://markleyva.com/895http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000895.jpghttp://markleyva.com2002080920201222",18,"relatedItem","loc"
"842","http://www.markleyva.com/894http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000894.jpghttp://markleyva.comhttp://endthefedusa.ning.comhttp://www.flipthishouse2010.comhttp://www.fundraisingbynet.net/fbn/contributeFederal.asp?2002080920201222",18,"relatedItem","loc"
"843","http://www.markleyva.com/MLMain893http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000893.jpg2002080720040909",18,"relatedItem","loc"
"844","website",18,"genre","loc"
"845","http://www.facebook.com/markleyva2014",18,"part","loc"
"846","http://markleyva.com",18,"part","loc"
"847","http://markleyva.comhttp://endthefedusa.ning.comhttp://www.flipthishouse2010.comhttp://www.fundraisingbynet.net/fbn/contributeFederal.asp?",18,"part","loc"
"848","text",18,"typeOfResource","loc"
"849","None",18,"accessCondition","loc"
"850","Leyva, Mark J.",18,"subject","loc"
"851","Political candidatesUnited States",18,"subject","loc"
"852","ElectionsUnited States",18,"subject","loc"
"853","Politics and governmentUnited States",18,"subject","loc"
"854","United States Elections, 2002",18,"subject","loc"
"855","United StatesCongressHouse",18,"subject","loc"
"856","Republican Party",18,"subject","loc"
"857","Indiana",18,"subject","loc"
"858","Indiana (1st Congressional District)",18,"subject","loc"
"859","United States Elections, 2004",18,"subject","loc"
"860","United StatesCongressHouse",18,"subject","loc"
"861","Republican Party",18,"subject","loc"
"862","Indiana",18,"subject","loc"
"863","Indiana (1st Congressional District)",18,"subject","loc"
"864","United States Elections, 2006",18,"subject","loc"
"865","United StatesCongressHouse",18,"subject","loc"
"866","Republican Party",18,"subject","loc"
"867","Indiana",18,"subject","loc"
"868","Indiana (1st Congressional District)",18,"subject","loc"
"869","United States Elections, 2008",18,"subject","loc"
"870","United StatesCongressHouse",18,"subject","loc"
"871","Republican Party",18,"subject","loc"
"872","Indiana",18,"subject","loc"
"873","Indiana (1st Congressional District)",18,"subject","loc"
"874","United States Elections, 2010",18,"subject","loc"
"875","United StatesCongressHouse",18,"subject","loc"
"876","Republican Party",18,"subject","loc"
"877","Indiana",18,"subject","loc"
"878","Indiana (1st Congressional District)",18,"subject","loc"
"879","United States Elections, 2014",18,"subject","loc"
"880","United StatesCongressHouse",18,"subject","loc"
"881","Republican Party",18,"subject","loc"
"882","Indiana",18,"subject","loc"
"883","Indiana (1st Congressional District)",18,"subject","loc"
"884","United States Elections, 2018",18,"subject","loc"
"885","United StatesCongressHouse",18,"subject","loc"
"886","Republican Party",18,"subject","loc"
"887","Indiana",18,"subject","loc"
"888","Indiana (1st Congressional District)",18,"subject","loc"
"889","United States Elections, 2020",18,"subject","loc"
"890","United StatesCongressHouse",18,"subject","loc"
"891","Republican Party",18,"subject","loc"
"892","Indiana",18,"subject","loc"
"893","Indiana (1st Congressional District)",18,"subject","loc"
"894","electronictext/htmlborn digital",18,"physicalDescription","loc"
"895","eng",18,"language","loc"
"896","Leyva, Mark J.",18,"name","loc"
"897","Leyva, Mark J.",18,"name","loc"
"898","United StatesCongressHouse",18,"name","loc"
"899","Republican Party",18,"name","loc"
"900","United StatesCongressHouse",18,"name","loc"
"901","Republican Party",18,"name","loc"
"902","United StatesCongressHouse",18,"name","loc"
"903","Republican Party",18,"name","loc"
"904","United StatesCongressHouse",18,"name","loc"
"905","Republican Party",18,"name","loc"
"906","United StatesCongressHouse",18,"name","loc"
"907","Republican Party",18,"name","loc"
"908","United StatesCongressHouse",18,"name","loc"
"909","Republican Party",18,"name","loc"
"910","United StatesCongressHouse",18,"name","loc"
"911","Republican Party",18,"name","loc"
"912","United StatesCongressHouse",18,"name","loc"
"913","Republican Party",18,"name","loc"
"914","Official Campaign Website - Mark J. Leyva",18,"titleInfo","loc"
"915","United States Elections Web Archive",18,"titleInfo","loc"
"916","Researcher and Reference Services Division",18,"titleInfo","loc"
"917","dlc20221128lcwaN0000598eng",17,"recordInfo","loc"
"918","lcwaN0000598",17,"identifier","loc"
"919","1929",17,"identifier","loc"
"920","http://www.layfieldforcongress.com/",17,"identifier","loc"
"921","942",17,"identifier","loc"
"922","general",17,"targetAudience","loc"
"923","2006062120061213",17,"originInfo","loc"
"924","United States Elections Web Archive",17,"relatedItem","loc"
"925","Researcher and Reference Services Division",17,"relatedItem","loc"
"926","http://www.layfieldforcongress.com/942http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000942.jpgNone2006062120061213",17,"relatedItem","loc"
"927","website",17,"genre","loc"
"928","None",17,"part","loc"
"929","text",17,"typeOfResource","loc"
"930","None",17,"accessCondition","loc"
"931","Layfield, Mark",17,"subject","loc"
"932","Political candidatesUnited States",17,"subject","loc"
"933","ElectionsUnited States",17,"subject","loc"
"934","Politics and governmentUnited States",17,"subject","loc"
"935","United States Elections, 2006",17,"subject","loc"
"936","United StatesCongressHouse",17,"subject","loc"
"937","Independent candidates",17,"subject","loc"
"938","Alabama",17,"subject","loc"
"939","Alabama (3rd Congressional District)",17,"subject","loc"
"940","electronictext/htmlborn digital",17,"physicalDescription","loc"
"941","eng",17,"language","loc"
"942","Layfield, Mark",17,"name","loc"
"943","Layfield, Mark",17,"name","loc"
"944","United StatesCongressHouse",17,"name","loc"
"945","Independent candidates",17,"name","loc"
"946","Official Campaign Website - Mark Layfield",17,"titleInfo","loc"
"947","United States Elections Web Archive",17,"titleInfo","loc"
"948","Researcher and Reference Services Division",17,"titleInfo","loc"
"949","dlc20221128lcwaN0000554eng",16,"recordInfo","loc"
"950","lcwaN0000554",16,"identifier","loc"
"951","2228",16,"identifier","loc"
"952","http://www.derrickkitts.com/",16,"identifier","loc"
"953","891",16,"identifier","loc"
"954","general",16,"targetAudience","loc"
"955","2006062120061213",16,"originInfo","loc"
"956","United States Elections Web Archive",16,"relatedItem","loc"
"957","Researcher and Reference Services Division",16,"relatedItem","loc"
"958","http://www.derrickkitts.com/891http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000891.jpgNone2006062120061213",16,"relatedItem","loc"
"959","website",16,"genre","loc"
"960","None",16,"part","loc"
"961","text",16,"typeOfResource","loc"
"962","None",16,"accessCondition","loc"
"963","Kitts, Derrick",16,"subject","loc"
"964","Political candidatesUnited States",16,"subject","loc"
"965","ElectionsUnited States",16,"subject","loc"
"966","Politics and governmentUnited States",16,"subject","loc"
"967","United States Elections, 2006",16,"subject","loc"
"968","United StatesCongressHouse",16,"subject","loc"
"969","Republican Party",16,"subject","loc"
"970","Oregon",16,"subject","loc"
"971","Oregon (1st Congressional District)",16,"subject","loc"
"972","electronictext/htmlborn digital",16,"physicalDescription","loc"
"973","eng",16,"language","loc"
"974","Kitts, Derrick",16,"name","loc"
"975","Kitts, Derrick",16,"name","loc"
"976","United StatesCongressHouse",16,"name","loc"
"977","Republican Party",16,"name","loc"
"978","Official Campaign Website - Derrick Kitts",16,"titleInfo","loc"
"979","United States Elections Web Archive",16,"titleInfo","loc"
"980","Researcher and Reference Services Division",16,"titleInfo","loc"
"981","dlc20221128lcwaN0000553eng",15,"recordInfo","loc"
"982","lcwaN0000553",15,"identifier","loc"
"983","2173",15,"identifier","loc"
"984","http://katzforcongress.com/",15,"identifier","loc"
"985","890",15,"identifier","loc"
"986","general",15,"targetAudience","loc"
"987","2006062120081128",15,"originInfo","loc"
"988","United States Elections Web Archive",15,"relatedItem","loc"
"989","Researcher and Reference Services Division",15,"relatedItem","loc"
"990","http://katzforcongress.com/890http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000890.jpgNone2006062120081128",15,"relatedItem","loc"
"991","website",15,"genre","loc"
"992","None",15,"part","loc"
"993","text",15,"typeOfResource","loc"
"994","None",15,"accessCondition","loc"
"995","Katz, Lewis Robert",15,"subject","loc"
"996","Political candidatesUnited States",15,"subject","loc"
"997","ElectionsUnited States",15,"subject","loc"
"998","Politics and governmentUnited States",15,"subject","loc"
"999","United States Elections, 2006",15,"subject","loc"
"1000","United StatesCongressHouse",15,"subject","loc"
"1001","Democratic Party",15,"subject","loc"
"1002","Ohio",15,"subject","loc"
"1003","Ohio (14th Congressional District)",15,"subject","loc"
"1004","electronictext/htmlborn digital",15,"physicalDescription","loc"
"1005","eng",15,"language","loc"
"1006","Katz, Lewis Robert",15,"name","loc"
"1007","Katz, Lewis Robert",15,"name","loc"
"1008","United StatesCongressHouse",15,"name","loc"
"1009","Democratic Party",15,"name","loc"
"1010","Official Campaign Website - Lewis Robert Katz",15,"titleInfo","loc"
"1011","United States Elections Web Archive",15,"titleInfo","loc"
"1012","Researcher and Reference Services Division",15,"titleInfo","loc"
"1013","dlc20221128lcwaN0000552eng",14,"recordInfo","loc"
"1014","lcwaN0000552",14,"identifier","loc"
"1015","318",14,"identifier","loc"
"1016","https://www.facebook.com/marcykapturforcongress/",14,"identifier","loc"
"1017","36641",14,"identifier","loc"
"1018","https://marcykaptur.com/",14,"identifier","loc"
"1019","32615",14,"identifier","loc"
"1020","http://marcykaptur.com/",14,"identifier","loc"
"1021","23120",14,"identifier","loc"
"1022","http://www.marcykaptur.com/",14,"identifier","loc"
"1023","889",14,"identifier","loc"
"1024","http://www.votemarcy.com/",14,"identifier","loc"
"1025","888",14,"identifier","loc"
"1026","http://votemarcy.com/",14,"identifier","loc"
"1027","887",14,"identifier","loc"
"1028","general",14,"targetAudience","loc"
"1029","2018092620181205",14,"originInfo","loc"
"1030","2002070120210112",14,"originInfo","loc"
"1031","2002070120210112",14,"originInfo","loc"
"1032","2002070120210112",14,"originInfo","loc"
"1033","2002070220101202",14,"originInfo","loc"
"1034","2002070220101202",14,"originInfo","loc"
"1035","United States Elections Web Archive",14,"relatedItem","loc"
"1036","Researcher and Reference Services Division",14,"relatedItem","loc"
"1037","https://www.facebook.com/marcykapturforcongress/36641http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0036641.jpghttp://www.facebook.com/marcykapturforcongress/2018092620181205",14,"relatedItem","loc"
"1038","https://marcykaptur.com/32615http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0032615.jpghttp://marcykaptur.comhttp://secure.actblue.com/contribute/page/marcykaptur?refcode=navbarhttp://secure.actblue.com/contribute/page/marcykaptur2002070120210112",14,"relatedItem","loc"
"1039","http://marcykaptur.com/23120http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0023120.jpghttp://marcykaptur.comhttp://secure.actblue.com/contribute/page/marcykaptur2002070120210112",14,"relatedItem","loc"
"1040","http://www.marcykaptur.com/889http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000889.jpghttp://marcykaptur.comhttp://secure.actblue.com/page/marcykapturhttp://secure.actblue.com/page/marcykaptur?amount=25.002002070120210112",14,"relatedItem","loc"
"1041","http://www.votemarcy.com/888http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000888.jpghttp://votemarcy.comhttp://marcykaptur.com2002070220101202",14,"relatedItem","loc"
"1042","http://votemarcy.com/887http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000887.jpg2002070220101202",14,"relatedItem","loc"
"1043","website",14,"genre","loc"
"1044","http://www.facebook.com/marcykapturforcongress/",14,"part","loc"
"1045","http://marcykaptur.comhttp://secure.actblue.com/contribute/page/marcykaptur?refcode=navbarhttp://secure.actblue.com/contribute/page/marcykaptur",14,"part","loc"
"1046","http://marcykaptur.comhttp://secure.actblue.com/contribute/page/marcykaptur",14,"part","loc"
"1047","http://marcykaptur.comhttp://secure.actblue.com/page/marcykapturhttp://secure.actblue.com/page/marcykaptur?amount=25.00",14,"part","loc"
"1048","http://votemarcy.comhttp://marcykaptur.com",14,"part","loc"
"1049","text",14,"typeOfResource","loc"
"1050","None",14,"accessCondition","loc"
"1051","Kaptur, Marcy",14,"subject","loc"
"1052","Political candidatesUnited States",14,"subject","loc"
"1053","ElectionsUnited States",14,"subject","loc"
"1054","Politics and governmentUnited States",14,"subject","loc"
"1055","United States Elections, 2002",14,"subject","loc"
"1056","United StatesCongressHouse",14,"subject","loc"
"1057","Democratic Party",14,"subject","loc"
"1058","Ohio",14,"subject","loc"
"1059","Ohio (9th Congressional District)",14,"subject","loc"
"1060","United States Elections, 2004",14,"subject","loc"
"1061","United StatesCongressHouse",14,"subject","loc"
"1062","Democratic Party",14,"subject","loc"
"1063","Ohio",14,"subject","loc"
"1064","Ohio (9th Congressional District)",14,"subject","loc"
"1065","United States Elections, 2006",14,"subject","loc"
"1066","United StatesCongressHouse",14,"subject","loc"
"1067","Democratic Party",14,"subject","loc"
"1068","Ohio",14,"subject","loc"
"1069","Ohio (9th Congressional District)",14,"subject","loc"
"1070","United States Elections, 2008",14,"subject","loc"
"1071","United StatesCongressHouse",14,"subject","loc"
"1072","Democratic Party",14,"subject","loc"
"1073","Ohio",14,"subject","loc"
